2023-05-11 20:39:01,943 DEBUG      log_decorator Функция create_massage вызванна с аргументами ((), {})из функции send_massage 
2023-05-11 20:39:01,943 INFO       client Сообщение отправленно серверу 
2023-05-11 20:39:01,944 DEBUG      log_decorator Функция send_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 43820), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-11 20:39:15,393 INFO       client Сформированно сообщение серверу: {'action': 'massage', 'time': 1683826755.3937895, 'user_massage': 'oh myyy'} 
2023-05-11 20:39:15,394 DEBUG      log_decorator Функция create_massage вызванна с аргументами ((), {})из функции send_massage 
2023-05-11 20:39:15,394 INFO       client Сообщение отправленно серверу 
2023-05-11 20:39:15,395 DEBUG      log_decorator Функция send_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 43820), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-11 21:37:39,753 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-11 21:39:13,306 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-11 21:39:47,076 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-11 21:41:08,404 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-11 21:41:08,405 INFO       client Сформированно сообщение о присутствии серверу: {'action': 'presence', 'time': 1683830468.4055953, 'nick_name': 'Ars'} 
2023-05-11 21:41:08,410 DEBUG      log_decorator Функция create_presence_massage вызванна с аргументами (('Ars',), {})из функции send_presence_massage 
2023-05-11 21:41:08,410 INFO       client Сообщение о присутствии отправленно серверу 
2023-05-11 21:41:08,411 DEBUG      log_decorator Функция send_presence_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60084), raddr=('127.0.0.1', 7777)>, 'Ars'), {})из функции main 
2023-05-11 21:41:24,452 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-11 21:41:24,453 INFO       client Сформированно сообщение о присутствии серверу: {'action': 'presence', 'time': 1683830484.4534898, 'nick_name': 'Val'} 
2023-05-11 21:41:24,458 DEBUG      log_decorator Функция create_presence_massage вызванна с аргументами (('Val',), {})из функции send_presence_massage 
2023-05-11 21:41:24,458 INFO       client Сообщение о присутствии отправленно серверу 
2023-05-11 21:41:24,459 DEBUG      log_decorator Функция send_presence_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51598), raddr=('127.0.0.1', 7777)>, 'Val'), {})из функции main 
2023-05-11 21:42:06,421 INFO       client Сформированно сообщение серверу: {'action': 'massage', 'time': 1683830526.4216568, 'sender': 'Ars', 'reciever': 'Val', 'user_massage': 'hello'} 
2023-05-11 21:42:06,422 DEBUG      log_decorator Функция create_massage вызванна с аргументами (('Ars',), {})из функции send_massage 
2023-05-11 21:42:06,423 INFO       client Сообщение отправленно серверу 
2023-05-11 21:42:06,423 DEBUG      log_decorator Функция send_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60084), raddr=('127.0.0.1', 7777)>, 'Ars'), {})из функции console 
2023-05-11 21:47:37,621 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-11 21:47:37,622 INFO       client Сформированно сообщение о присутствии серверу: {'action': 'presence', 'time': 1683830857.6224086, 'nick_name': 'Ars'} 
2023-05-11 21:47:37,628 DEBUG      log_decorator Функция create_presence_massage вызванна с аргументами (('Ars',), {})из функции send_presence_massage 
2023-05-11 21:47:37,628 INFO       client Сообщение о присутствии отправленно серверу 
2023-05-11 21:47:37,629 DEBUG      log_decorator Функция send_presence_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 33656), raddr=('127.0.0.1', 7777)>, 'Ars'), {})из функции main 
2023-05-11 21:47:43,225 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-11 21:47:43,226 INFO       client Сформированно сообщение о присутствии серверу: {'action': 'presence', 'time': 1683830863.226732, 'nick_name': 'Val'} 
2023-05-11 21:47:43,232 DEBUG      log_decorator Функция create_presence_massage вызванна с аргументами (('Val',), {})из функции send_presence_massage 
2023-05-11 21:47:43,232 INFO       client Сообщение о присутствии отправленно серверу 
2023-05-11 21:47:43,232 DEBUG      log_decorator Функция send_presence_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 33672), raddr=('127.0.0.1', 7777)>, 'Val'), {})из функции main 
2023-05-11 21:48:00,794 INFO       client Сформированно сообщение серверу: {'action': 'massage', 'time': 1683830880.794535, 'sender': 'Ars', 'reciever': 'Val', 'user_massage': 'hello'} 
2023-05-11 21:48:00,795 DEBUG      log_decorator Функция create_massage вызванна с аргументами (('Ars',), {})из функции send_massage 
2023-05-11 21:48:00,796 INFO       client Сообщение отправленно серверу 
2023-05-11 21:48:00,796 DEBUG      log_decorator Функция send_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 33656), raddr=('127.0.0.1', 7777)>, 'Ars'), {})из функции console 
2023-05-11 21:51:04,536 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-11 21:52:06,811 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-11 21:52:06,812 INFO       client Сформированно сообщение о присутствии серверу: {'action': 'presence', 'time': 1683831126.8123937, 'nick_name': 'Ars'} 
2023-05-11 21:52:06,817 DEBUG      log_decorator Функция create_presence_massage вызванна с аргументами (('Ars',), {})из функции send_presence_massage 
2023-05-11 21:52:06,817 INFO       client Сообщение о присутствии отправленно серверу 
2023-05-11 21:52:06,818 DEBUG      log_decorator Функция send_presence_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 48748), raddr=('127.0.0.1', 7777)>, 'Ars'), {})из функции main 
